week_start_date,cases,filled_missing_week,district,disease,is_forecast_week,data_source
2010-01-04,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-01-11,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-01-18,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-01-25,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-02-01,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-02-08,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-02-15,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-02-22,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-03-01,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-03-08,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-03-15,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-03-22,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-03-29,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-04-05,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-04-12,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-04-19,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-04-26,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-05-03,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-05-10,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-05-17,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-05-24,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-05-31,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-06-07,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-06-14,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-06-21,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-06-28,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-07-05,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-07-12,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-07-19,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-07-26,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-08-02,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-08-09,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-08-16,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-08-23,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-08-30,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-09-06,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-09-13,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-09-20,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-09-27,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-10-04,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-10-11,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-10-18,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-10-25,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-11-01,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-11-08,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-11-15,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-11-22,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-11-29,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-12-06,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-12-13,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-12-20,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2010-12-27,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-01-03,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-01-10,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-01-17,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-01-24,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-01-31,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-02-07,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-02-14,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-02-21,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-02-28,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-03-07,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-03-14,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-03-21,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-03-28,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-04-04,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-04-11,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-04-18,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-04-25,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-05-02,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-05-09,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-05-16,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-05-23,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-05-30,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-06-06,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-06-13,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-06-20,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-06-27,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-07-04,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-07-11,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-07-18,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-07-25,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-08-01,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-08-08,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-08-15,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-08-22,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
2011-08-29,0.0,1,Ahilyanagar,Acute diarrhoeal disease,0,historical
